cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,.1078806,.0184869,22.22,21.09265,21.9795,"",70447,131301
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,.1790316,.0579279,27.69,26.45501,27.40293,"",70397,131199
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,.1145631,.0635457,25.07,23.88337,24.73194,"",70347,131097
2020,Wyoming,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,.0547801,.0439723,33.86,32.5331,33.22309,T,70295,130990
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/21/2020,10/25/2020,Marquette University Law School,749,lv,1.54565,1.334466,48,47.90416,47.90147,"",72151,135295
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/27/2020,SurveyMonkey,4531,lv,.5801637,.2050663,55,53.27131,53.31083,T,72090,135217
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/20/2020,10/25/2020,ABC News/The Washington Post,809,lv,1.741548,1.503598,57,55.61636,55.61778,"",72075,135124
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/27/2020,10/25/2020,SurveyMonkey,4466,lv,.0760158,.0112148,55,53.27131,53.33482,T,71980,134983
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/20/2020,10/26/2020,Ipsos,664,lv,.8237068,.7083243,53,53.56876,53.58204,"",71975,134924
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,.6510981,.2935527,53,53.18233,53.1725,"",71948,134867
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,4465,lv,.0273309,.0035593,55,53.27131,53.34784,T,71895,134809
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/23/2020,10/23/2020,Gravis Marketing,677,lv,.8121232,.8121232,54,53.42573,53.43531,"",71877,134726
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/23/2020,SurveyMonkey,4490,lv,.0300442,.0033994,55,53.27131,53.36275,T,71828,134674
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,4528,lv,0,0,55,53.27131,53.43224,T,71767,134543
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,4540,lv,.0519203,.0024401,55,53.27131,53.44528,T,71684,134344
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/20/2020,RMG Research,800,lv,.8138771,.3690734,50,50.58921,50.58224,"",71660,134247
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/11/2020,10/20/2020,Morning Consult,1038,lv,.8736756,.3395455,54,53.89373,53.85481,T,71648,134220
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/17/2020,10/20/2020,Fox News/Beacon Research/Shaw & Co. Research,1037,lv,1.763129,.9601345,49,49.08943,49.04984,"",71628,134186
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/22/2020,10/20/2020,SurveyMonkey,4513,lv,.0987586,.0041527,55,53.27131,53.46474,T,71571,134119
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Susquehanna Polling & Research Inc.,500,lv,.6815998,.3401314,45,46.272,46.27756,"",71559,134051
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/19/2020,Latino Decisions,400,lv,.5343021,.2422929,50,48.93759,48.93222,"",71552,134036
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/16/2020,10/19/2020,Change Research,447,lv,.5599653,.2770399,52,52.30909,52.2816,"",71524,133962
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/19/2020,SurveyMonkey,4511,lv,.0503803,.0017966,55,53.27131,53.483,T,71469,133907
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,4575,lv,0,0,55,53.27131,53.50246,T,71384,133723
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/19/2020,Ipsos,663,lv,.7252107,.2821978,51,51.57008,51.56955,"",71380,133665
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/14/2020,10/16/2020,Trafalgar Group,1051,lv,.5847364,.2090067,47.6,49.79459,49.8173,"",71365,133639
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,4571,lv,.0561542,.0011285,55,53.27131,53.52502,T,71302,133562
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/13/2020,10/16/2020,YouGov,1112,lv,1.093217,.3942676,51,51.18272,51.17788,"",71296,133501
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,4565,lv,.0576256,.0006981,55,53.27131,53.54975,T,71244,133445
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,4513,lv,.0591448,.0002198,55,53.27131,53.5747,T,71183,133318
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/17/2020,10/14/2020,SurveyMonkey,4425,lv,.0608778,0,54,52.26809,52.59656,T,71109,133168
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Civiqs,560,lv,.5797104,.1058491,53,51.3031,51.32621,"",71102,133105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/11/2020,10/13/2020,Trafalgar Group,1043,lv,.4186523,.0917505,47.3,50.06381,50.0943,"",71095,133085
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,4414,lv,.065018,0,54,52.26809,52.62428,T,71015,132961
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/10/2020,10/13/2020,David Binder Research,200,lv,.3355042,.0757424,53,51.23908,51.24221,"",71004,132878
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,4397,lv,.0709952,0,54,52.26809,52.65379,T,70974,132804
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/2/2020,10/11/2020,Morning Consult,1067,lv,.8373515,.0823033,51,50.89333,50.95987,T,70763,132372
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/6/2020,10/11/2020,Ipsos,577,lv,.6840585,.0790785,51.5,52.06986,52.13971,"",70740,132338
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/8/2020,10/11/2020,Siena College/The New York Times Upshot,789,lv,1.644302,.3002323,51,51.32396,51.34705,"",70738,132335
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/8/2020,Baldwin Wallace University,883,lv,.7271249,.0635579,49.2,49.5657,49.6905,"",70722,132291
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/4/2020,10/7/2020,Redfield & Wilton Strategies,688,lv,.6904854,.0571651,51,52.14698,52.26588,"",70711,132265
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/30/2020,10/4/2020,Marquette University Law School,700,lv,1.453999,.0480133,47,46.90429,47.1046,"",70646,132105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,10/2/2020,10/4/2020,Change Research,442,lv,.5503758,.0244307,51,51.30936,51.48059,"",70609,132014
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/29/2020,10/5/2020,Ipsos,601,lv,.804314,0,50,50.57031,50.86157,"",70584,131967
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,813,lv,.5069495,0,50.57,48.83379,50.18439,"",70449,131303
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,2173,lv,.6109986,0,50.24,48.50393,49.9543,"",70399,131201
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,1913,lv,.6009769,0,48.38,46.64648,47.89869,"",70349,131099
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,3806,lv,.5712166,0,53.45,51.7167,52.58602,T,70297,130992
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/25/2020,9/28/2020,Trafalgar Group,1084,lv,.4082391,0,47.2,49.96362,50.53928,"",70143,130683
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/23/2020,9/27/2020,Redfield & Wilton Strategies,663,lv,.6262929,0,48,49.14711,49.75796,"",70128,130655
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/23/2020,9/26/2020,Susquehanna Polling & Research Inc.,500,lv,.6815998,0,48,49.2776,49.91649,"",70025,130437
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/22/2020,9/25/2020,Trafalgar Group,1189,lv,.6188206,0,47.7,49.89473,50.58074,"",70014,130422
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/20/2020,9/24/2020,Marist College,727,lv,1.480951,0,54,53.01812,53.75213,"",69996,130357
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/17/2020,9/19/2020,Garin-Hart-Yang Research Group,400,lv,.565323,0,51,49.58707,50.41837,"",69985,130330
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/10/2020,9/21/2020,YouGov,664,lv,.9228093,0,50,50.18277,51.08611,"",69716,130007
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/22/2020,Baldwin Wallace University,863,lv,.7211198,0,50.3,50.66571,51.58717,"",69703,129963
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/18/2020,9/20/2020,Change Research,571,lv,.61372,0,51,51.30936,52.11859,"",69686,129908
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/20/2020,6/24/2020,Ogden & Fry,825,lv,.8871915,0,45.2,46.26715,47.57228,"",69632,129821
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/11/2020,9/16/2020,Ipsos,609,lv,.8722953,0,48,48.56989,49.5255,"",69627,129813
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/12/2020,9/16/2020,Redfield & Wilton Strategies,636,lv,.5919083,0,47,48.14599,49.0836,"",69547,129565
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/11/2020,9/15/2020,Civiqs,704,rv,.6030517,0,51,50.15966,51.12649,"",69538,129547
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/7/2020,9/16/2020,Morning Consult,800,lv,.6398939,0,51,50.89333,51.8384,T,69522,129505
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/6/2020,9/15/2020,Morning Consult,800,lv,.063696,0,51,50.89333,51.85282,T,69497,129460
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/13/2020,ABC News/The Washington Post,605,lv,1.322618,0,52,50.60278,51.58907,"",69475,129401
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/5/2020,9/14/2020,Morning Consult,809,lv,.0643652,0,51,50.89333,51.86762,T,69471,129393
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/9/2020,9/13/2020,SSRS,816,lv,1.146129,0,52,51.2617,52.23736,"",69463,129370
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/4/2020,9/13/2020,Morning Consult,774,lv,.0618744,0,50,49.89331,50.88259,T,69445,129341
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/3/2020,9/12/2020,Morning Consult,769,lv,.0620027,0,50,49.89331,50.89581,T,69427,129309
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/2/2020,9/11/2020,Morning Consult,797,lv,.0651778,0,50,49.89331,50.90684,T,69426,129308
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/8/2020,9/10/2020,Siena College/The New York Times Upshot,760,lv,1.589157,0,48,48.32379,49.34837,"",69419,129278
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/10/2020,Morning Consult,797,lv,.0663986,0,50,49.89331,50.91689,T,69414,129271
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/31/2020,9/9/2020,Morning Consult,816,lv,.0697678,0,50,49.89331,50.92667,T,69404,129252
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/6/2020,9/8/2020,Emerson College,823,lv,1.410921,0,51.43,50.83618,51.85266,"",69403,129251
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/28/2020,9/8/2020,Benenson Strategy Group/GS Strategy Group,1200,lv,1.880784,0,50,50.05081,51.114,"",68580,128407
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/8/2020,Morning Consult,799,lv,.0704505,0,51,50.89333,51.93455,T,68570,128393
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/3/2020,Marquette University Law School,688,lv,1.431371,0,48,47.90416,48.99132,"",68559,128354
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/4/2020,9/6/2020,Change Research,501,lv,.5710989,0,50,50.30946,51.35838,"",68538,128313
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/29/2020,9/7/2020,Morning Consult,791,lv,.0723552,0,51,50.89333,51.94291,T,68531,128298
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/30/2020,9/4/2020,Redfield & Wilton Strategies,670,lv,.654367,0,50,51.14761,52.22412,"",68525,128290
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/28/2020,9/6/2020,Morning Consult,770,lv,.073554,0,51,50.89333,51.94929,T,68503,128248
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/1/2020,9/2/2020,Rasmussen Reports/Pulse Opinion Research,1000,lv,1.034299,0,53.09,52.24464,53.32231,"",68499,128241
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/27/2020,9/5/2020,Morning Consult,763,lv,.0776092,0,50,49.89331,50.97153,T,68496,128232
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,9/2/2020,9/4/2020,YouGov,978,lv,1.201573,0,50,50.18277,51.2645,"",68495,128231
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/26/2020,9/4/2020,Morning Consult,775,lv,.0809468,0,51,50.89333,52.00485,T,68490,128220
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/25/2020,9/3/2020,Morning Consult,797,lv,.0852965,0,52,51.89341,53.0276,T,68488,128216
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/17/2020,8/20/2020,Hodas & Associates,600,lv,.7015365,0,51.91,51.27253,52.46955,"",68485,128206
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/24/2020,9/2/2020,Morning Consult,810,lv,.0885789,0,52,51.89341,53.04796,T,68471,128182
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/23/2020,9/1/2020,Morning Consult,809,lv,.0895615,0,52,51.89341,53.05697,T,68457,128143
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/22/2020,8/31/2020,Morning Consult,819,lv,.0923126,0,53,52.89354,54.06267,T,68456,128142
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/20/2020,8/29/2020,Morning Consult,797,lv,.0945563,0,51,50.89333,52.07823,T,68455,128141
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/19/2020,8/28/2020,Morning Consult,797,lv,.0973622,0,51,50.89333,52.08311,T,68454,128140
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/18/2020,8/27/2020,Morning Consult,797,lv,.098965,0,52,51.89341,53.0884,T,68453,128139
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/17/2020,8/26/2020,Morning Consult,797,lv,.096536,0,52,51.89341,53.08312,T,68452,128138
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/16/2020,8/25/2020,Morning Consult,797,lv,.0934781,0,51,50.89333,52.08464,T,68451,128137
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/15/2020,8/24/2020,Morning Consult,797,lv,.0910788,0,50,49.89331,51.08511,T,68450,128136
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/14/2020,8/23/2020,Morning Consult,797,lv,.0899739,0,51,50.89333,52.08079,T,68449,128135
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/13/2020,8/22/2020,Morning Consult,797,lv,.0896981,0,50,49.89331,51.07162,T,68448,128134
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/12/2020,8/21/2020,Morning Consult,797,lv,.0894827,0,50,49.89331,51.06138,T,68447,128133
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/11/2020,8/20/2020,Morning Consult,797,lv,.0749847,0,51,50.89333,52.00422,T,68446,128132
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/10/2020,8/19/2020,Morning Consult,797,lv,.0684198,0,51,50.89333,51.97385,T,68445,128131
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/9/2020,8/18/2020,Morning Consult,797,lv,.0630728,0,50,49.89331,50.95663,T,68444,128130
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/8/2020,8/17/2020,Morning Consult,797,lv,.0580726,0,48,47.89342,48.95989,T,68443,128129
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/6/2020,8/15/2020,Morning Consult,797,lv,.1124754,0,50,49.89331,50.96875,T,68442,128128
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/5/2020,8/14/2020,Morning Consult,797,lv,.0571938,0,50,49.89331,50.97261,T,68441,128127
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/4/2020,8/13/2020,Morning Consult,797,lv,.0583617,0,50,49.89331,50.98035,T,68440,128126
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/3/2020,8/12/2020,Morning Consult,797,lv,.0597399,0,50,49.89331,50.99182,T,68439,128125
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/2/2020,8/11/2020,Morning Consult,797,lv,.0636779,0,50,49.89331,51.02299,T,68438,128124
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,8/1/2020,8/10/2020,Morning Consult,797,lv,.0649837,0,50,49.89331,51.03315,T,68437,128123
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/31/2020,8/9/2020,Morning Consult,797,lv,.0663665,0,50,49.89331,51.04282,T,68436,128122
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/30/2020,8/8/2020,Morning Consult,797,lv,.068045,0,51,50.89333,52.05083,T,68435,128121
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/29/2020,8/7/2020,Morning Consult,797,lv,.0698464,0,51,50.89333,52.06009,T,68434,128120
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/28/2020,8/6/2020,Morning Consult,797,lv,.0697132,0,51,50.89333,52.07132,T,68433,128119
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/27/2020,8/5/2020,Morning Consult,797,lv,.0693896,0,51,50.89333,52.08624,T,68432,128118
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/26/2020,8/4/2020,Morning Consult,797,lv,.06911,0,51,50.89333,52.09885,T,68431,128117
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/25/2020,8/3/2020,Morning Consult,797,lv,.0688412,0,51,50.89333,52.10961,T,68430,128116
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/24/2020,8/2/2020,Morning Consult,797,lv,.068618,0,52,51.89341,53.11982,T,68429,128115
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/23/2020,8/1/2020,Morning Consult,797,lv,.0686137,0,51,50.89333,52.13318,T,68428,128114
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/22/2020,7/31/2020,Morning Consult,797,lv,.0688591,0,50,49.89331,51.14637,T,68427,128113
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/21/2020,7/30/2020,Morning Consult,797,lv,.0691099,0,51,50.89333,52.15963,T,68426,128112
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/20/2020,7/29/2020,Morning Consult,797,lv,.0694045,0,50,49.89331,51.17375,T,68425,128111
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/19/2020,7/28/2020,Morning Consult,797,lv,.0697067,0,50,49.89331,51.18604,T,68424,128110
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/18/2020,7/27/2020,Morning Consult,797,lv,.0696638,0,50,49.89331,51.19696,T,68423,128109
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/16/2020,7/25/2020,Morning Consult,797,lv,.0695082,0,49,48.89334,50.21744,T,68422,128108
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/15/2020,7/24/2020,Morning Consult,797,lv,.0694348,0,49,48.89334,50.22755,T,68421,128107
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/14/2020,7/23/2020,Morning Consult,797,lv,.069362,0,48,47.89342,49.23695,T,68420,128106
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/13/2020,7/22/2020,Morning Consult,797,lv,.0693276,0,47,46.89356,48.24708,T,68419,128105
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/12/2020,7/21/2020,Morning Consult,797,lv,.0693313,0,48,47.89342,49.25822,T,68418,128104
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/11/2020,7/20/2020,Morning Consult,797,lv,.069335,0,48,47.89342,49.26711,T,68417,128103
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/10/2020,7/19/2020,Morning Consult,797,lv,.0693387,0,48,47.89342,49.27891,T,68416,128102
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/9/2020,7/18/2020,Morning Consult,797,lv,.0693424,0,49,48.89334,50.29161,T,68415,128101
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/8/2020,7/17/2020,Morning Consult,797,lv,.0693461,0,48,47.89342,49.29998,T,68414,128100
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/7/2020,7/16/2020,Morning Consult,797,lv,.0693498,0,49,48.89334,50.30442,T,68413,128099
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/6/2020,7/15/2020,Morning Consult,797,lv,.0693536,0,49,48.89334,50.30553,T,68412,128098
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/5/2020,7/14/2020,Morning Consult,797,lv,.0693541,0,50,49.89331,51.3063,T,68411,128097
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/4/2020,7/13/2020,Morning Consult,797,lv,.0693547,0,50,49.89331,51.30502,T,68410,128096
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/3/2020,7/12/2020,Morning Consult,797,lv,.0693553,0,50,49.89331,51.30184,T,68409,128095
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/2/2020,7/11/2020,Morning Consult,797,lv,.0693558,0,50,49.89331,51.29729,T,68408,128094
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,7/1/2020,7/10/2020,Morning Consult,797,lv,.0693564,0,51,50.89333,52.29187,T,68407,128093
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/30/2020,7/9/2020,Morning Consult,797,lv,.069357,0,50,49.89331,51.28374,T,68406,128092
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/29/2020,7/8/2020,Morning Consult,797,lv,.0693576,0,51,50.89333,52.26488,T,68405,128091
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/28/2020,7/7/2020,Morning Consult,797,lv,.0693581,0,51,50.89333,52.2572,T,68404,128090
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/27/2020,7/6/2020,Morning Consult,797,lv,.0693587,0,50,49.89331,51.24302,T,68403,128089
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/26/2020,7/5/2020,Morning Consult,797,lv,.0693593,0,51,50.89333,52.2304,T,68402,128088
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/25/2020,7/4/2020,Morning Consult,797,lv,.0693593,0,50,49.89331,51.21857,T,68401,128087
2020,Wisconsin,10/28/2020,Joseph R. Biden Jr.,6/24/2020,7/3/2020,Morning Consult,797,lv,.0693593,0,50,49.89331,51.20783,T,68400,128086
